primary,alternates,catalogs,common_name,match_type,notes
M31,M32 | M110 | NGC 224 | NGC 221 | NGC 205 | IC 1653,Mixed,Région de Andromeda,regional_proximity,Région: Andromeda
M31,M33 | NGC 147 | NGC 185 | IC 1613,Mixed,Amas Local Group,cluster_members,Membres de l'amas Local Group
M42,M43 | NGC 1976 | NGC 1982 | NGC 1977 | NGC 2024 | IC 419 | IC 420,Mixed,Région de Orion,regional_proximity,Région: Orion
M51,NGC 5194 | NGC 5195,Mixed,Région de Whirlpool,regional_proximity,Région: Whirlpool
M87,M86 | M84 | NGC 4486 | NGC 4406 | NGC 4374,Mixed,Région de Virgo Core,regional_proximity,Région: Virgo Core
M87,M86 | M84 | M49 | M58 | M59,Mixed,Amas Virgo,cluster_members,Membres de l'amas Virgo
NGC 1976,M42 | M43 | NGC 1982 | NGC 1977 | NGC 2024 | IC 419 | IC 420,Mixed,Région de Orion,regional_proximity,Région: Orion
NGC 1976,IC 419,Mixed,,catalog_extension,Extension NGC-IC
NGC 224,M31 | M32 | M110 | NGC 221 | NGC 205 | IC 1653,Mixed,Région de Andromeda,regional_proximity,Région: Andromeda
NGC 224,IC 1653 | IC 1654,Mixed,,catalog_extension,Extension NGC-IC
NGC 6960,NGC 6992 | IC 340 | IC 341,Mixed,Région de Veil Complex,regional_proximity,Région: Veil Complex
NGC 6960,IC 340,Mixed,,catalog_extension,Extension NGC-IC
NGC 6960,Sh2-103 | NGC 6992,Mixed,,nebula_complex,Complexe nébulaire Sh2-103
NGC 4038,NGC 4039,Mixed,Région de Antennae,regional_proximity,Région: Antennae
NGC 3623,M65 | M66 | NGC 3627 | NGC 3628,Mixed,Région de Leo Triplet,regional_proximity,Région: Leo Triplet
