designation,common_name,object_type,constellation,ra_hours,dec_degrees,magnitude,size,distance_ly,notes
Sh2-1,,Emission Nebula,,15.8800,-25.8333,,150',,"Nébuleuse à émission Sharpless"
Sh2-2,,Emission Nebula,,16.9550,-38.0000,,60',,"Nébuleuse à émission Sharpless"
Sh2-3,,Emission Nebula,,17.1150,-38.3833,,12',,"Nébuleuse à émission Sharpless"
Sh2-4,,Emission Nebula,,17.2150,-39.2333,,5',,"Nébuleuse à émission Sharpless"
Sh2-5,,Emission Nebula,,17.2200,-38.3500,,100',,"Nébuleuse à émission Sharpless"
Sh2-6,,Emission Nebula,,17.1383,-37.0000,,4',,"Nébuleuse à émission Sharpless"
Sh2-7,,Emission Nebula,,15.9067,-22.6667,,240',,"Nébuleuse à émission Sharpless"
Sh2-8,Nébuleuse de la Lagune,Emission Nebula,Sagittarius,18.0617,-24.3833,6.0,90'×40',4100,"Nébuleuse de la Lagune (M8)"
Sh2-9,,Emission Nebula,,16.2517,-25.3500,,80',,"Nébuleuse à émission Sharpless"
Sh2-10,,Emission Nebula,,17.2067,-33.9833,,60',,"Nébuleuse à émission Sharpless"
Sh2-11,,Emission Nebula,,18.0667,-23.8167,,120',,"Nébuleuse à émission Sharpless"
Sh2-12,,Emission Nebula,,18.2200,-18.2500,,60',,"Nébuleuse à émission Sharpless"
Sh2-13,,Emission Nebula,,18.1667,-18.0333,,18',,"Nébuleuse à émission Sharpless"
Sh2-14,,Emission Nebula,,18.3783,-16.9333,,15',,"Nébuleuse à émission Sharpless"
Sh2-15,,Emission Nebula,,18.3167,-16.2500,,7',,"Nébuleuse à émission Sharpless"
Sh2-16,,Emission Nebula,,18.3017,-16.2167,,,,"Nébuleuse à émission Sharpless"
Sh2-17,Nébuleuse Oméga,Emission Nebula,Sagittarius,18.3458,-16.1833,6.0,46'×37',5000,"Nébuleuse Oméga (M17)"
Sh2-18,,Emission Nebula,,18.3167,-17.1333,,9',,"Nébuleuse à émission Sharpless"
Sh2-19,,Emission Nebula,,18.4167,-15.0000,,20',,"Nébuleuse à émission Sharpless"
Sh2-20,Nébuleuse Trifide,Emission Nebula,Sagittarius,18.0333,-23.0333,6.3,28'×27',5200,"Nébuleuse Trifide (M20)"
Sh2-21,,Emission Nebula,,18.0750,-22.5000,,13',,"Amas ouvert (M21)"
Sh2-22,,Emission Nebula,,18.3167,-23.8333,,40',,"Nébuleuse à émission Sharpless"
Sh2-23,,Emission Nebula,,17.9333,-19.0167,,27',,"Amas ouvert (M23)"
Sh2-24,,Emission Nebula,,18.2833,-18.4833,,60',,"Nébuleuse à émission Sharpless"
Sh2-25,,Emission Nebula,,18.5167,-13.7833,,35',,"Nébuleuse de l'Aigle (M16)"
Sh2-26,,Emission Nebula,,18.7500,-9.3833,,15',,"Amas ouvert (M26)"
Sh2-27,Nébuleuse de l'Haltère,Planetary Nebula,Vulpecula,19.9958,22.7217,7.4,8'×5.7',1360,"Nébuleuse de l'Haltère (M27)"
Sh2-28,,Emission Nebula,,18.4167,-24.8667,,15',,"Amas globulaire (M28)"
Sh2-29,,Emission Nebula,,20.3958,38.5333,,7',,"Amas ouvert (M29)"
Sh2-30,,Emission Nebula,,21.6667,-23.1833,,12',,"Amas globulaire (M30)"
Sh2-31,,Emission Nebula,,18.6167,-23.9000,,32',,"Amas globulaire (M22)"
Sh2-32,,Emission Nebula,,18.5167,-32.3500,,9.8',,"Amas globulaire (M69)"
Sh2-33,,Emission Nebula,,18.7167,-32.3000,,8',,"Amas globulaire (M70)"
Sh2-34,,Emission Nebula,,18.9167,-30.4833,,12',,"Amas globulaire (M54)"
Sh2-35,,Emission Nebula,,18.8875,33.0292,,1.4'×1.0',2300,"Nébuleuse de l'Anneau (M57)"
Sh2-36,,Emission Nebula,,19.2667,30.1833,,9',,"Amas globulaire (M56)"
Sh2-37,,Emission Nebula,,19.6667,-30.9667,,19',,"Amas globulaire (M55)"
Sh2-38,,Emission Nebula,,19.8958,18.7833,,7',,"Amas globulaire (M71)"
Sh2-39,,Emission Nebula,,21.5333,48.4333,,32',,"Amas ouvert (M39)"
Sh2-40,,Emission Nebula,,20.8833,-12.5333,,6',,"Amas globulaire (M72)"
Sh2-41,,Emission Nebula,,20.9833,-12.6333,,2.8',,"Astérisme (M73)"
Sh2-42,,Emission Nebula,,21.5000,12.1667,,18',,"Amas globulaire (M15)"
Sh2-43,,Emission Nebula,,23.4083,61.5833,,13',,"Amas ouvert (M52)"
Sh2-44,,Emission Nebula,,21.5558,-0.8233,,16',,"Amas globulaire (M2)"
Sh2-45,,Emission Nebula,,7.6083,-14.8167,,30',,"Amas ouvert (M47)"
Sh2-46,,Emission Nebula,,7.6917,-14.8167,,27',,"Amas ouvert (M46)"
Sh2-47,,Emission Nebula,,7.7333,-23.8667,,22',,"Amas ouvert (M93)"
Sh2-48,,Emission Nebula,,8.2292,-5.8000,,54',,"Amas ouvert (M48)"
Sh2-49,Nébuleuse de la Rosette,Emission Nebula,Monoceros,6.5333,5.0333,9.0,80'×60',5200,"Nébuleuse de la Rosette"
Sh2-50,,Emission Nebula,,7.0500,-8.3333,,16',,"Amas ouvert (M50)"
Sh2-51,Grande Nébuleuse d'Orion,Emission Nebula,Orion,5.5917,-5.3833,4.0,85'×60',1344,"Grande Nébuleuse d'Orion (M42)"
Sh2-52,,Emission Nebula,,5.5917,-5.2667,,20'×15',1600,"Nébuleuse de Mairan (M43)"
Sh2-53,,Emission Nebula,,5.7833,0.0500,,8'×6',1600,"Nébuleuse de réflexion (M78)"
Sh2-54,Nébuleuse du Cône,Emission Nebula,Monoceros,6.6833,9.8833,,20',2700,"Nébuleuse du Cône"
Sh2-55,,Emission Nebula,,6.7833,-20.7333,,38',,"Amas ouvert (M41)"
Sh2-56,,Emission Nebula,,8.6667,19.9833,,95',,"Amas de la Crèche (M44)"
Sh2-57,,Emission Nebula,,8.8500,11.8167,,30',,"Amas ouvert ancien (M67)"
Sh2-58,,Emission Nebula,,6.1458,24.3333,,28',,"Amas ouvert (M35)"
Sh2-59,,Emission Nebula,,5.8792,32.5500,,24',,"Amas ouvert (M37)"
Sh2-60,,Emission Nebula,,5.6000,34.1333,,12',,"Amas ouvert (M36)"
Sh2-61,,Emission Nebula,,5.4750,35.8333,,21',,"Amas ouvert (M38)"
Sh2-62,,Emission Nebula,,1.9500,37.6833,,50',,"Amas ouvert dispersé"
Sh2-63,,Emission Nebula,,2.3167,57.1333,,30',,"Amas ouvert de Persée"
Sh2-64,,Emission Nebula,,2.3667,57.1333,,30',,"Amas ouvert de Persée"
Sh2-65,,Emission Nebula,,2.7000,42.7833,,35',,"Amas ouvert (M34)"
Sh2-66,,Emission Nebula,,1.7000,51.5667,,2.7'×1.8',2500,"Nébuleuse du Petit Haltère (M76)"
Sh2-67,Nébuleuse de Californie,Emission Nebula,Perseus,4.0500,36.3667,,145'×40',1000,"Nébuleuse de Californie"
Sh2-68,,Emission Nebula,,4.1500,30.7833,,2.2',800,"Nébuleuse planétaire"
Sh2-69,,Emission Nebula,,4.2333,-12.7333,,0.3',4900,"Nébuleuse planétaire"
Sh2-70,,Emission Nebula,,5.4167,-24.5167,,9',42100,"Amas globulaire (M79)"
Sh2-71,,Emission Nebula,,0.8750,-72.8000,,318'×203',200000,"Petit Nuage de Magellan"
Sh2-72,,Emission Nebula,,1.0500,-70.8500,,12.9',27700,"Amas globulaire"
Sh2-73,,Emission Nebula,,0.4000,-72.0833,,50.8',13400,"Amas globulaire 47 Tucanae"
Sh2-74,,Emission Nebula,,0.8667,-26.5833,,13.8',28700,"Amas globulaire"
Sh2-75,,Emission Nebula,,0.7833,-25.2833,,25.1'×7.4',11400000,"Galaxie du Sculpteur"
Sh2-76,,Emission Nebula,,0.6500,48.3333,,11.7'×9.8',2010000,"Compagnon d'Andromède"
Sh2-77,,Emission Nebula,,0.5500,48.5167,,13.2'×7.8',2380000,"Compagnon d'Andromède"
Sh2-78,,Emission Nebula,,0.6667,41.6833,,17'×10',2900000,"Compagnon d'Andromède"
Sh2-79,,Emission Nebula,,0.7125,40.8650,,8'×6',2650000,"Compagnon d'Andromède"
Sh2-80,Galaxie d'Andromède,Galaxy,Andromeda,0.7125,41.2683,,190'×60',2540000,"Grande Galaxie d'Andromède"
