designation,common_name,object_type,constellation,ra_hours,dec_degrees,magnitude,size,distance_ly,notes
Sh2-1,Nébuleuse planétaire,Planetary Nebula,Scorpius,17.1333,-21.9167,13.2,"0.8",5200,Nébuleuse planétaire
Sh2-2,Nébuleuse planétaire,Planetary Nebula,Aquila,19.5167,17.0833,14.7,"0.3",4900,Nébuleuse planétaire
Sh2-6,Nébuleuse planétaire,Planetary Nebula,Serpens,18.5333,-5.4500,13.9,"0.6",3600,Nébuleuse planétaire
Sh2-8,Nébuleuse de la Lagune,Emission Nebula,Sagittarius,18.0617,-24.3833,6.0,"90×40",4100,Nébuleuse de la Lagune (M8)
Sh2-10,Nébuleuse de l'Aigle,Emission Nebula,Serpens,18.3167,-13.8167,6.4,"35×28",7000,Nébuleuse de l'Aigle (M16)
Sh2-20,Nébuleuse Trifide,Emission Nebula,Sagittarius,18.0333,-23.0333,6.3,"28×27",5200,Nébuleuse Trifide (M20)
Sh2-25,Nébuleuse de l'Amas,Emission Nebula,Sagittarius,18.5333,-19.2500,4.6,"32",2000,IC 4725 (M25)
Sh2-27,Nébuleuse de l'Haltère,Planetary Nebula,Vulpecula,19.9958,22.7217,7.4,"8×5.7",1360,Nébuleuse de l'Haltère (M27)
Sh2-29,Nébuleuse,Emission Nebula,Vulpecula,20.0833,27.8333,7.0,"60×40",1800,Nébuleuse à émission
Sh2-49,Nébuleuse de la Rosette,Emission Nebula,Monoceros,6.5333,5.0333,9.0,"80×60",5200,Nébuleuse de la Rosette (NGC 2237)
Sh2-54,Nébuleuse Eagle,Emission Nebula,Serpens,18.3167,-13.8167,6.4,"35×28",7000,Identique à M16
Sh2-101,Nébuleuse Tulipe,Emission Nebula,Cygnus,20.2000,35.3500,9.0,"8×6",8000,Nébuleuse Tulipe
Sh2-104,Nébuleuse Eagle,Emission Nebula,Cygnus,20.7667,44.2167,9.0,"60×40",1800,Nébuleuse Eagle
Sh2-106,Nébuleuse bipolaire,Emission Nebula,Cygnus,20.4667,40.3667,9.0,"2",2000,Nébuleuse bipolaire
Sh2-108,Nébuleuse à émission,Emission Nebula,Cygnus,20.9167,44.9167,8.0,"60×30",1800,Nébuleuse à émission
Sh2-109,Nébuleuse à émission,Emission Nebula,Cygnus,21.0000,45.8167,8.0,"30×20",2000,Nébuleuse à émission
Sh2-110,Nébuleuse à émission,Emission Nebula,Cygnus,21.3167,45.2500,8.0,"15×10",2200,Nébuleuse à émission
Sh2-112,Nébuleuse à émission,Emission Nebula,Cygnus,21.4167,45.8833,8.5,"5×3",2400,Nébuleuse à émission
Sh2-115,Nébuleuse à émission,Emission Nebula,Cygnus,21.8333,50.3000,7.0,"30×25",2200,Nébuleuse à émission
Sh2-117,Nébuleuse à émission,Emission Nebula,Cygnus,21.9500,58.0833,8.0,"40×30",3000,Nébuleuse à émission
Sh2-119,Nébuleuse Clamshell,Emission Nebula,Cygnus,23.2000,62.3833,7.0,"120×60",4000,Nébuleuse Clamshell
Sh2-129,Nébuleuse à émission,Emission Nebula,Cepheus,21.1000,60.1333,8.0,"180×60",3200,Nébuleuse à émission
Sh2-132,Nébuleuse du Lion,Emission Nebula,Cepheus,21.5333,55.7333,8.0,"30×20",10400,Nébuleuse du Lion
Sh2-136,Nébuleuse à émission,Emission Nebula,Cepheus,22.2500,56.8333,8.0,"15×10",4000,Nébuleuse à émission
Sh2-140,Nébuleuse à émission,Emission Nebula,Cepheus,22.3333,63.2667,7.0,"6×4",3000,Nébuleuse à émission
Sh2-142,Nébuleuse Wizard,Emission Nebula,Cepheus,22.7833,58.1167,7.0,"30×30",9000,Nébuleuse Wizard
Sh2-145,Nébuleuse à émission,Emission Nebula,Cassiopeia,22.7167,58.7667,8.0,"60×30",8600,Nébuleuse à émission
Sh2-155,Nébuleuse de la Caverne,Emission Nebula,Cepheus,22.9333,62.6167,7.7,"50×30",2400,Nébuleuse de la Caverne
Sh2-157,Nébuleuse Lobster Claw,Emission Nebula,Cassiopeia,23.2667,60.0833,8.4,"50×37",8200,Nébuleuse Lobster Claw
Sh2-158,Nébuleuse à émission,Emission Nebula,Cassiopeia,23.4500,61.3000,8.0,"20×15",8000,Nébuleuse à émission
Sh2-161,Nébuleuse NGC 281,Emission Nebula,Cassiopeia,0.8833,56.6167,7.4,"35×30",9200,Nébuleuse NGC 281
Sh2-162,Nébuleuse à émission,Emission Nebula,Cassiopeia,0.9333,56.1000,9.0,"10×8",9500,Nébuleuse à émission
Sh2-171,Nébuleuse NGC 7635,Emission Nebula,Cassiopeia,23.3333,61.2167,7.0,"15×8",11000,Nébuleuse Bulle
Sh2-184,Nébuleuse Lambda Orionis,Emission Nebula,Orion,5.5833,9.9167,4.0,"360",1100,Nébuleuse Lambda Orionis
Sh2-185,Nébuleuse à émission,Emission Nebula,Orion,5.7333,9.5000,7.0,"60×40",1600,Nébuleuse à émission
Sh2-190,Nébuleuse IC 405,Emission Nebula,Auriga,5.2667,34.2667,6.0,"30×19",1500,Nébuleuse de l'Étoile Flamboyante
Sh2-199,Nébuleuse à émission,Emission Nebula,Auriga,5.4500,36.0833,7.0,"40×30",1800,Nébuleuse à émission
Sh2-200,Nébuleuse à émission,Emission Nebula,Auriga,5.8000,37.8167,8.0,"15×10",4000,Nébuleuse à émission
Sh2-206,Nébuleuse à émission,Emission Nebula,Orion,5.7500,20.2167,8.0,"30×15",2600,Nébuleuse à émission
Sh2-216,Nébuleuse Lower´s,Supernova Remnant,Orion,5.3500,12.1833,7.0,"120×60",1500,Reste de supernova
Sh2-217,Nébuleuse à émission,Emission Nebula,Orion,5.4167,25.9000,8.0,"180×120",1800,Nébuleuse à émission
Sh2-224,Nébuleuse à émission,Emission Nebula,Auriga,5.5167,43.7833,7.0,"60×30",3500,Nébuleuse à émission
Sh2-229,Nébuleuse à émission,Emission Nebula,Auriga,5.7167,35.8167,8.0,"20×15",4200,Nébuleuse à émission
Sh2-235,Nébuleuse à émission,Emission Nebula,Auriga,5.6833,35.9167,8.5,"8×5",7900,Nébuleuse à émission
Sh2-236,Nébuleuse à émission,Emission Nebula,Taurus,5.7000,36.1500,9.0,"5×3",8500,Nébuleuse à émission
Sh2-237,Nébuleuse de la Rosette,Emission Nebula,Monoceros,6.5333,5.0333,9.0,"80×60",5200,Nébuleuse de la Rosette
Sh2-240,Reste de supernova Simeis 147,Supernova Remnant,Taurus,5.6500,27.8333,12.0,"180×120",3000,Reste de supernova
Sh2-243,Nébuleuse à émission,Emission Nebula,Orion,6.1833,-1.3000,8.0,"35×25",2200,Nébuleuse à émission
Sh2-244,Nébuleuse à émission,Emission Nebula,Monoceros,6.5333,4.9000,7.5,"80×60",5200,Centre de la Rosette
Sh2-245,Nébuleuse à émission,Emission Nebula,Monoceros,6.2667,4.7500,9.0,"15×10",5500,Nébuleuse à émission
Sh2-247,Nébuleuse à émission,Emission Nebula,Orion,6.0833,20.1333,8.0,"20×15",2500,Nébuleuse à émission
Sh2-252,Nébuleuse à émission,Emission Nebula,Gemini,6.1667,18.0167,9.0,"10×8",3800,Nébuleuse à émission
Sh2-254,Nébuleuse à émission,Emission Nebula,Gemini,6.2333,18.0000,8.5,"25×15",4500,Nébuleuse à émission
Sh2-255,Nébuleuse à émission,Emission Nebula,Gemini,6.1833,17.9500,9.0,"15×10",4200,Nébuleuse à émission
Sh2-264,Nébuleuse Lambda Orionis,Emission Nebula,Orion,5.5833,9.9167,4.0,"360",1100,Nébuleuse Lambda Orionis
Sh2-266,Nébuleuse à émission,Emission Nebula,Orion,5.6833,2.5833,8.0,"60×30",1600,Nébuleuse à émission
Sh2-273,Nébuleuse à émission,Emission Nebula,Gemini,6.0833,22.5000,8.0,"15×10",3200,Nébuleuse à émission
Sh2-274,Nébuleuse Medusa,Planetary Nebula,Gemini,7.6167,13.2333,15.9,"8",1500,Nébuleuse Medusa
Sh2-276,Nébuleuse Barnard´s Loop,Emission Nebula,Orion,5.5333,-1.0000,4.0,"600×300",1600,Barnard´s Loop
Sh2-279,Grande Nébuleuse d'Orion,Emission Nebula,Orion,5.5917,-5.3833,4.0,"85×60",1344,Grande Nébuleuse d'Orion (M42)
Sh2-280,Nébuleuse à émission,Emission Nebula,Orion,5.5500,-1.8333,8.0,"40×30",1600,Nébuleuse à émission
Sh2-281,Nébuleuse à émission,Emission Nebula,Orion,5.5833,-2.4500,8.0,"50×30",1600,Nébuleuse à émission
Sh2-284,Nébuleuse à émission,Emission Nebula,Monoceros,6.7833,-2.6000,8.0,"40×30",4200,Nébuleuse à émission
Sh2-285,Nébuleuse à émission,Emission Nebula,Monoceros,6.7000,16.9167,8.0,"20×15",6100,Nébuleuse à émission
Sh2-288,Nébuleuse à émission,Emission Nebula,Monoceros,6.8333,-8.9000,9.0,"4×3",4500,Nébuleuse à émission
Sh2-292,Nébuleuse de la Mouette,Emission Nebula,Monoceros,7.0833,-10.4167,7.0,"120×60",3800,Nébuleuse de la Mouette
Sh2-296,Nébuleuse à émission,Emission Nebula,Monoceros,7.0000,-11.5000,8.0,"30×20",4000,Nébuleuse à émission
Sh2-297,Nébuleuse à émission,Emission Nebula,Canis Major,7.2333,-16.3333,8.0,"15×10",3500,Nébuleuse à émission
Sh2-301,Nébuleuse à émission,Emission Nebula,Puppis,7.3000,-12.1667,9.0,"10×8",4800,Nébuleuse à émission
Sh2-308,Nébuleuse du Dauphin,Emission Nebula,Canis Major,7.1833,-20.6667,13.0,"60×60",5200,Nébuleuse du Dauphin
