primary,alternates,catalogs,common_name,match_type,notes
M2,M3 | M4 | M5 | M9 | M10 | M12 | M14 | M15 | M19 | M22 | M28 | M30 | M53 | M54 | M55 | M56 | M62 | M68 | M69 | M70 | M71 | M72 | M75 | M79 | M80 | M92 | M107 | C107 | C108,Caldwell | Messier,Amas globulaire,common_name_match,Correspondance par nom commun: amasglobulaire
M8,C8 | C58 | Sh2-8,Caldwell | Messier | Sharpless,Nébuleuse de la Lagune,common_name_match,Correspondance par nom commun: nbuleusedelalagune
M16,C50 | C60 | Sh2-254,Caldwell | Messier | Sharpless,Nébuleuse de l'Aigle,common_name_match,Correspondance par nom commun: nbuleusedelaigle
M17,C61,Caldwell | Messier,Nébuleuse Omega,common_name_match,Correspondance par nom commun: nbuleuseomega
M18,M21 | M23 | M25 | M26 | M29 | M34 | M35 | M36 | M37 | M38 | M39 | M41 | M46 | M47 | M48 | M50 | M52 | M67 | M93 | M103 | C28 | C37,Caldwell | Messier,Amas ouvert,common_name_match,Correspondance par nom commun: amasouvert
M20,C59 | Sh2-20,Caldwell | Messier | Sharpless,Nébuleuse Trifide,common_name_match,Correspondance par nom commun: nbuleusetrifide
M27,Sh2-27,Messier | Sharpless,Nébuleuse de l'Haltère,common_name_match,Correspondance par nom commun: nbuleusedelhaltre
M31,C31 | Sh2-80,Caldwell | Messier | Sharpless,Galaxie d'Andromède,common_name_match,Correspondance par nom commun: galaxiedandromde
M33,C33,Caldwell | Messier,Galaxie du Triangle,common_name_match,Correspondance par nom commun: galaxiedutriangle
M42,Sh2-51 | Sh2-224,Messier | Sharpless,Grande Nébuleuse d'Orion,common_name_match,Correspondance par nom commun: grandenbuleusedorion
M45,C45,Caldwell | Messier,Pléiades,common_name_match,Correspondance par nom commun: pliades
M61,M65 | M66 | M74 | M77 | M88 | M90 | M94 | M96 | M98 | M99 | M100 | M106 | M108 | C7 | C52 | C53 | C62 | C78 | C84 | C86 | C106,Caldwell | Messier,Galaxie spirale,common_name_match,Correspondance par nom commun: galaxiespirale
C17,C49 | Sh2-49 | Sh2-243 | Sh2-252,Caldwell | Sharpless,Nébuleuse de la Rosette,common_name_match,Correspondance par nom commun: nbuleusedelarosette
C38,Sh2-296,Caldwell | Sharpless,Nébuleuse de la Mouette,common_name_match,Correspondance par nom commun: nbuleusedelamouette
C46,C103 | Sh2-54 | Sh2-249,Caldwell | Sharpless,Nébuleuse du Cône,common_name_match,Correspondance par nom commun: nbuleuseducne
UGC 80,PGC 134,UGC | PGC,NGC 134,common_name_match,Correspondance par nom commun: ngc134
UGC 90,PGC 147,UGC | PGC,NGC 147,common_name_match,Correspondance par nom commun: ngc147
UGC 130,PGC 185,UGC | PGC,NGC 185,common_name_match,Correspondance par nom commun: ngc185
UGC 150,PGC 205,UGC | PGC,NGC 205,common_name_match,Correspondance par nom commun: ngc205
UGC 165,PGC 221,UGC | PGC,NGC 221,common_name_match,Correspondance par nom commun: ngc221
UGC 170,PGC 224,UGC | PGC,NGC 224,common_name_match,Correspondance par nom commun: ngc224
UGC 180,PGC 247,UGC | PGC,NGC 247,common_name_match,Correspondance par nom commun: ngc247
UGC 185,PGC 253,UGC | PGC,NGC 253,common_name_match,Correspondance par nom commun: ngc253
UGC 300,PGC 488,UGC | PGC,NGC 488,common_name_match,Correspondance par nom commun: ngc488
UGC 400,PGC 628,UGC | PGC,NGC 628,common_name_match,Correspondance par nom commun: ngc628
UGC 500,PGC 772,UGC | PGC,NGC 772,common_name_match,Correspondance par nom commun: ngc772
UGC 600,PGC 891,UGC | PGC,NGC 891,common_name_match,Correspondance par nom commun: ngc891
UGC 700,PGC 1023,UGC | PGC,NGC 1023,common_name_match,Correspondance par nom commun: ngc1023
UGC 800,PGC 1068,UGC | PGC,NGC 1068,common_name_match,Correspondance par nom commun: ngc1068
UGC 900,PGC 1300,UGC | PGC,NGC 1300,common_name_match,Correspondance par nom commun: ngc1300
UGC 1000,PGC 1316,UGC | PGC,NGC 1316,common_name_match,Correspondance par nom commun: ngc1316
UGC 1100,PGC 1365,UGC | PGC,NGC 1365,common_name_match,Correspondance par nom commun: ngc1365
UGC 1200,PGC 1399,UGC | PGC,NGC 1399,common_name_match,Correspondance par nom commun: ngc1399
UGC 1300,PGC 1404,UGC | PGC,NGC 1404,common_name_match,Correspondance par nom commun: ngc1404
UGC 1400,PGC 1433,UGC | PGC,NGC 1433,common_name_match,Correspondance par nom commun: ngc1433
UGC 1600,PGC 1532,UGC | PGC,NGC 1532,common_name_match,Correspondance par nom commun: ngc1532
UGC 1700,PGC 1566,UGC | PGC,NGC 1566,common_name_match,Correspondance par nom commun: ngc1566
UGC 1800,PGC 1637,UGC | PGC,NGC 1637,common_name_match,Correspondance par nom commun: ngc1637
UGC 1900,PGC 1672,UGC | PGC,NGC 1672,common_name_match,Correspondance par nom commun: ngc1672
UGC 2100,PGC 1700,UGC | PGC,NGC 1700,common_name_match,Correspondance par nom commun: ngc1700
UGC 2200,PGC 1808,UGC | PGC,NGC 1808,common_name_match,Correspondance par nom commun: ngc1808
UGC 3700,PGC 3031,UGC | PGC,NGC 3031,common_name_match,Correspondance par nom commun: ngc3031
UGC 3800,PGC 3034,UGC | PGC,NGC 3034,common_name_match,Correspondance par nom commun: ngc3034
UGC 3900,PGC 3115,UGC | PGC,NGC 3115,common_name_match,Correspondance par nom commun: ngc3115
UGC 4000,PGC 3198,UGC | PGC,NGC 3198,common_name_match,Correspondance par nom commun: ngc3198
UGC 4100,PGC 3351,UGC | PGC,NGC 3351,common_name_match,Correspondance par nom commun: ngc3351
UGC 4200,PGC 3368,UGC | PGC,NGC 3368,common_name_match,Correspondance par nom commun: ngc3368
UGC 4300,PGC 3379,UGC | PGC,NGC 3379,common_name_match,Correspondance par nom commun: ngc3379
UGC 4400,PGC 3623,UGC | PGC,NGC 3623,common_name_match,Correspondance par nom commun: ngc3623
UGC 4500,PGC 3627,UGC | PGC,NGC 3627,common_name_match,Correspondance par nom commun: ngc3627
UGC 4600,PGC 3992,UGC | PGC,NGC 3992,common_name_match,Correspondance par nom commun: ngc3992
UGC 4700,PGC 4258,UGC | PGC,NGC 4258,common_name_match,Correspondance par nom commun: ngc4258
UGC 4800,PGC 4374,UGC | PGC,NGC 4374,common_name_match,Correspondance par nom commun: ngc4374
UGC 4900,PGC 4382,UGC | PGC,NGC 4382,common_name_match,Correspondance par nom commun: ngc4382
UGC 5000,PGC 4406,UGC | PGC,NGC 4406,common_name_match,Correspondance par nom commun: ngc4406
UGC 5100,PGC 4472,UGC | PGC,NGC 4472,common_name_match,Correspondance par nom commun: ngc4472
UGC 5200,PGC 4486,UGC | PGC,NGC 4486,common_name_match,Correspondance par nom commun: ngc4486
UGC 5300,PGC 4501,UGC | PGC,NGC 4501,common_name_match,Correspondance par nom commun: ngc4501
UGC 5400,PGC 4552,UGC | PGC,NGC 4552,common_name_match,Correspondance par nom commun: ngc4552
UGC 5500,PGC 4569,UGC | PGC,NGC 4569,common_name_match,Correspondance par nom commun: ngc4569
UGC 5600,PGC 4579,UGC | PGC,NGC 4579,common_name_match,Correspondance par nom commun: ngc4579
