designation,common_name,object_type,constellation,ra_hours,dec_degrees,magnitude,size,distance_ly,notes
PGC 1,NGC 1,Galaxy,Pegasus,0.1167,27.7167,13.4,1.5'×1.2',200000000,"Galaxie spirale PGC"
PGC 2,NGC 2,Galaxy,Pegasus,0.1333,27.6833,14.2,1.0'×0.8',220000000,"Galaxie PGC"
PGC 3,NGC 3,Galaxy,Pisces,0.1500,8.3167,13.0,2.5'×0.6',240000000,"Galaxie spirale barrée PGC"
PGC 10,NGC 10,Galaxy,Sculptor,0.1333,-33.8500,12.5,2.2'×1.5',346000000,"Galaxie spirale PGC"
PGC 23,NGC 23,Galaxy,Pegasus,0.1583,25.9167,12.0,2.3'×1.1',94000000,"Galaxie spirale PGC"
PGC 45,NGC 45,Galaxy,Cetus,0.2333,-23.1833,10.4,8.5'×5.9',22000000,"Galaxie spirale PGC"
PGC 55,NGC 55,Galaxy,Sculptor,0.2500,-39.2000,7.87,32.4'×5.6',7200000,"Galaxie spirale de Sculptor PGC"
PGC 134,NGC 134,Galaxy,Sculptor,0.5000,-33.2500,10.4,8.5'×2.0',60000000,"Galaxie spirale barrée PGC"
PGC 147,NGC 147,Galaxy,Cassiopeia,0.5500,48.5167,9.3,13.2'×7.8',2380000,"Galaxie elliptique naine PGC"
PGC 185,NGC 185,Galaxy,Cassiopeia,0.6833,48.3333,9.2,11.7'×9.8',2010000,"Galaxie elliptique naine PGC"
PGC 205,NGC 205,Galaxy,Andromeda,0.6667,41.6833,8.5,17'×10',2900000,"Galaxie elliptique compagne M31"
PGC 221,NGC 221,Galaxy,Andromeda,0.7125,40.8650,8.5,8'×6',2650000,"Galaxie elliptique M32"
PGC 224,NGC 224,Galaxy,Andromeda,0.7125,41.2683,3.4,190'×60',2540000,"Galaxie d'Andromède M31"
PGC 247,NGC 247,Galaxy,Cetus,0.7917,-20.7667,9.1,20.0'×6.8',11100000,"Galaxie spirale PGC"
PGC 253,NGC 253,Galaxy,Sculptor,0.7917,-25.2833,7.6,25.1'×7.4',11400000,"Galaxie du Sculpteur PGC"
PGC 300,NGC 300,Galaxy,Sculptor,0.9167,-37.6833,8.1,21.9'×15.5',6200000,"Galaxie spirale PGC"
PGC 488,NGC 488,Galaxy,Pisces,1.3333,5.2500,10.3,5.2'×4.1',95000000,"Galaxie spirale PGC"
PGC 598,M33,Galaxy,Triangulum,1.5667,30.6600,5.7,73'×45',2380000,"Galaxie du Triangle PGC"
PGC 628,NGC 628,Galaxy,Pisces,1.6167,15.7833,9.4,10'×9',32000000,"Galaxie spirale M74"
PGC 660,NGC 660,Galaxy,Pisces,1.7000,13.6500,11.2,8.3'×2.9',45000000,"Galaxie spirale barrée polaire PGC"
PGC 772,NGC 772,Galaxy,Aries,1.9917,19.0167,10.3,7.2'×4.3',130000000,"Galaxie spirale PGC"
PGC 891,NGC 891,Galaxy,Andromeda,2.3750,42.3500,9.9,13.5'×2.5',27300000,"Galaxie spirale vue par la tranche"
PGC 1023,NGC 1023,Galaxy,Perseus,2.6667,39.0167,9.3,8.7'×3.0',36400000,"Galaxie lenticulaire PGC"
PGC 1068,NGC 1068,Galaxy,Cetus,2.7167,-0.0167,8.9,7'×6',47000000,"Galaxie spirale Seyfert M77"
PGC 1291,NGC 1291,Galaxy,Eridanus,3.2833,-41.1167,8.5,9.8'×8.1',33000000,"Galaxie lenticulaire annulaire PGC"
PGC 1300,NGC 1300,Galaxy,Eridanus,3.3167,-19.4167,10.4,6.2'×4.1',61000000,"Galaxie spirale barrée PGC"
PGC 1316,NGC 1316,Galaxy,Fornax,3.3833,-37.2167,8.2,12'×8.5',75000000,"Galaxie elliptique PGC"
PGC 1365,NGC 1365,Galaxy,Fornax,3.5583,-36.1333,9.6,11.2'×6.2',56000000,"Galaxie spirale barrée PGC"
PGC 1399,NGC 1399,Galaxy,Fornax,3.6333,-35.4500,9.6,7.6'×6.9',65000000,"Galaxie elliptique PGC"
PGC 1404,NGC 1404,Galaxy,Eridanus,3.6500,-35.5833,9.8,3.2'×3.2',65000000,"Galaxie elliptique PGC"
PGC 1433,NGC 1433,Galaxy,Horologium,3.7000,-47.2167,9.8,6.5'×5.9',32000000,"Galaxie spirale barrée PGC"
PGC 1532,NGC 1532,Galaxy,Eridanus,4.2083,-32.8667,9.9,12.6'×3.2',55000000,"Galaxie spirale PGC"
PGC 1566,NGC 1566,Galaxy,Dorado,4.3333,-54.9333,9.4,8.3'×6.6',38000000,"Galaxie spirale PGC"
PGC 1637,NGC 1637,Galaxy,Eridanus,4.6833,-2.8500,10.9,4.1'×2.8',35000000,"Galaxie spirale PGC"
PGC 1672,NGC 1672,Galaxy,Dorado,4.7500,-59.2500,9.7,6.6'×5.5',49000000,"Galaxie spirale barrée PGC"
PGC 1700,NGC 1700,Galaxy,Eridanus,4.9167,-4.8833,11.1,2.6'×2.3',160000000,"Galaxie elliptique PGC"
PGC 1808,NGC 1808,Galaxy,Columba,5.1250,-37.5167,9.9,6.4'×3.9',40000000,"Galaxie spirale barrée PGC"
PGC 2146,NGC 2146,Galaxy,Camelopardalis,6.3083,78.3667,10.6,6.0'×3.4',52000000,"Galaxie spirale barrée PGC"
